id,type,central_char,surrounding_char,trial_number,trial_type,key_pressed,correct,reaction_time
235M20,Zgodny,left,left,0,training,left,True,0.3853545000310987
235M20,Zgodny,left,left,1,training,left,True,0.3760790000669658
235M20,Niezgodny,right,left,2,training,left,False,0.3420176999643445
235M20,Zgodny,right,right,3,training,right,True,0.3855453999713063
235M20,Niezgodny,left,neutral,4,training,left,True,0.403116200119257
235M20,Niezgodny,right,left,0,experimental,left,False,0.314645400037989
235M20,Zgodny,right,right,1,experimental,left,False,0.21894680010154843
235M20,Niezgodny,left,neutral,2,experimental,left,True,0.07061589998193085
235M20,Zgodny,right,right,3,experimental,right,True,0.11000859993509948
235M20,Niezgodny,right,neutral,4,experimental,right,True,0.05936149996705353
235M20,Zgodny,right,right,5,experimental,left,False,0.015880899969488382
235M20,Niezgodny,right,neutral,6,experimental,right,True,0.03462540009059012
235M20,Niezgodny,left,right,7,experimental,left,True,0.04878830001689494
235M20,Niezgodny,left,right,8,experimental,right,False,0.05968459998257458
235M20,Niezgodny,left,right,9,experimental,left,True,0.08324200008064508
235M20,Niezgodny,left,right,0,experimental,right,False,0.06072189984843135
235M20,Niezgodny,right,neutral,1,experimental,left,False,0.09292740002274513
235M20,Zgodny,left,left,2,experimental,right,False,0.101998700061813
235M20,Zgodny,left,left,3,experimental,left,True,0.3737781001254916
235M20,Zgodny,left,left,4,experimental,right,False,0.07204060000367463
235M20,Niezgodny,right,left,5,experimental,right,True,0.20619079982861876
235M20,Niezgodny,left,right,6,experimental,right,False,0.01508709997870028
235M20,Niezgodny,right,neutral,7,experimental,right,True,0.28151210001669824
235M20,Zgodny,left,left,8,experimental,right,False,0.32239270000718534
235M20,Niezgodny,right,left,9,experimental,right,True,0.2779203001409769
