id,type,central_char,surrounding_char,trial_number,trial_type,key_pressed,correct,reaction_time
413M20,Niezgodny,left,neutral,0,training,left,True,1.262202899903059
413M20,Niezgodny,right,neutral,1,training,left,False,0.5802116000559181
413M20,Niezgodny,right,left,2,training,left,False,0.25176330003887415
413M20,Zgodny,right,right,3,training,left,False,0.058843999868258834
413M20,Niezgodny,right,left,4,training,left,False,0.0768665000796318
413M20,Niezgodny,right,neutral,0,experimental,left,False,0.339527300093323
413M20,Zgodny,left,left,1,experimental,right,False,0.2612848000135273
413M20,Niezgodny,right,neutral,2,experimental,right,True,0.06435279990546405
413M20,Niezgodny,right,left,3,experimental,left,False,0.039620300056412816
413M20,Niezgodny,right,neutral,4,experimental,left,False,0.09387280000373721
413M20,Zgodny,right,right,5,experimental,right,True,0.0923911000136286
413M20,Zgodny,left,left,6,experimental,left,True,0.0576343999709934
413M20,Niezgodny,left,right,7,experimental,right,False,0.08905849978327751
413M20,Niezgodny,left,right,8,experimental,left,True,0.11378360004164279
413M20,Niezgodny,right,left,9,experimental,left,False,0.016563900047913194
413M20,Zgodny,left,left,0,experimental,left,True,0.3805557999294251
413M20,Niezgodny,right,neutral,1,experimental,right,True,0.33068769983947277
413M20,Zgodny,left,left,2,experimental,right,False,0.9212637001182884
413M20,Zgodny,left,left,3,experimental,left,True,0.01515690004453063
413M20,Niezgodny,right,neutral,4,experimental,left,False,0.015001599909737706
413M20,Niezgodny,right,left,5,experimental,right,True,0.12359420000575483
413M20,Niezgodny,right,left,6,experimental,right,True,0.1540680001489818
413M20,Zgodny,right,right,7,experimental,left,False,0.11683900002390146
413M20,Niezgodny,right,neutral,8,experimental,left,False,0.048703499836847186
413M20,Niezgodny,left,neutral,9,experimental,left,True,0.023628199938684702
